Mon Jan 22 16:27:20 CET 2018 :  Beginning of Experiment f05_5AGCMs_NA_SPG
Fri Feb 02 19:56:55 CET 2018 :  14 18590901 f05_5AGCMs_NASPG_sample  - done
Fri Feb 02 19:56:55 CET 2018 :  15 18590901 f05_5AGCMs_NASPG_sample  - start
Fri Feb 02 20:06:21 CET 2018 :  15 18591001 f05_5AGCMs_NASPG_sample  - done
Fri Feb 02 20:06:22 CET 2018 :  16 18591001 f05_5AGCMs_NASPG_sample  - start
Fri Feb 02 20:16:01 CET 2018 :  16 18591101 f05_5AGCMs_NASPG_sample  - done
Fri Feb 02 20:16:01 CET 2018 :  17 18591101 f05_5AGCMs_NASPG_sample  - start
Fri Feb 02 20:25:30 CET 2018 :  17 18591201 f05_5AGCMs_NASPG_sample  - done
Fri Feb 02 20:25:31 CET 2018 :  18 18591201 f05_5AGCMs_NASPG_sample  - start
Fri Feb 02 20:35:23 CET 2018 :  18 18600101 f05_5AGCMs_NASPG_sample  - done
Fri Feb 02 20:35:23 CET 2018 :  19 18600101 f05_5AGCMs_NASPG_sample  - start
Fri Feb 02 20:45:00 CET 2018 :  19 18600201 f05_5AGCMs_NASPG_sample  - done
Fri Feb 02 20:45:00 CET 2018 :  20 18600201 f05_5AGCMs_NASPG_sample  - start
Fri Feb 02 20:54:08 CET 2018 :  20 18600301 f05_5AGCMs_NASPG_sample  - done
Fri Feb 02 20:54:09 CET 2018 :  21 18600301 f05_5AGCMs_NASPG_sample  - start
Fri Feb 02 21:03:50 CET 2018 :  21 18600401 f05_5AGCMs_NASPG_sample  - done
Fri Feb 02 21:03:51 CET 2018 :  22 18600401 f05_5AGCMs_NASPG_sample  - start
Fri Feb 02 21:13:15 CET 2018 :  22 18600501 f05_5AGCMs_NASPG_sample  - done
Fri Feb 02 21:13:15 CET 2018 :  23 18600501 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 05:08:54 CET 2018 :  23 18600501 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 05:18:52 CET 2018 :  23 18600601 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 05:18:53 CET 2018 :  24 18600601 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 05:28:14 CET 2018 :  24 18600701 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 05:28:15 CET 2018 :  25 18600701 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 05:37:56 CET 2018 :  25 18600801 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 05:37:57 CET 2018 :  26 18600801 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 05:47:37 CET 2018 :  26 18600901 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 05:47:38 CET 2018 :  27 18600901 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 05:56:55 CET 2018 :  27 18601001 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 05:56:55 CET 2018 :  28 18601001 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 06:06:29 CET 2018 :  28 18601101 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 06:06:30 CET 2018 :  29 18601101 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 06:15:46 CET 2018 :  29 18601201 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 06:15:46 CET 2018 :  30 18601201 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 06:25:33 CET 2018 :  30 18610101 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 06:25:34 CET 2018 :  31 18610101 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 06:35:06 CET 2018 :  31 18610201 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 06:35:07 CET 2018 :  32 18610201 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 06:43:53 CET 2018 :  32 18610301 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 06:43:53 CET 2018 :  33 18610301 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 06:53:29 CET 2018 :  33 18610401 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 06:53:30 CET 2018 :  34 18610401 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 07:03:02 CET 2018 :  34 18610501 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 07:03:03 CET 2018 :  35 18610501 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 07:12:46 CET 2018 :  35 18610601 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 07:12:47 CET 2018 :  36 18610601 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 07:22:06 CET 2018 :  36 18610701 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 07:22:06 CET 2018 :  37 18610701 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 07:31:46 CET 2018 :  37 18610801 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 07:31:47 CET 2018 :  38 18610801 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 07:41:21 CET 2018 :  38 18610901 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 07:41:22 CET 2018 :  39 18610901 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 07:50:42 CET 2018 :  39 18611001 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 07:50:43 CET 2018 :  40 18611001 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 08:00:16 CET 2018 :  40 18611101 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 08:00:17 CET 2018 :  41 18611101 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 08:09:37 CET 2018 :  41 18611201 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 08:09:38 CET 2018 :  42 18611201 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 08:19:10 CET 2018 :  42 18620101 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 08:19:10 CET 2018 :  43 18620101 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 08:28:47 CET 2018 :  43 18620201 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 08:28:48 CET 2018 :  44 18620201 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 08:37:35 CET 2018 :  44 18620301 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 08:37:35 CET 2018 :  45 18620301 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 08:47:12 CET 2018 :  45 18620401 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 08:47:12 CET 2018 :  46 18620401 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 08:56:37 CET 2018 :  46 18620501 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 08:56:37 CET 2018 :  47 18620501 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 09:06:20 CET 2018 :  47 18620601 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 09:06:21 CET 2018 :  48 18620601 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 09:15:38 CET 2018 :  48 18620701 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 09:15:39 CET 2018 :  49 18620701 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 09:25:15 CET 2018 :  49 18620801 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 09:25:16 CET 2018 :  50 18620801 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 09:34:56 CET 2018 :  50 18620901 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 09:34:57 CET 2018 :  51 18620901 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 09:44:24 CET 2018 :  51 18621001 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 09:44:25 CET 2018 :  52 18621001 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 09:54:12 CET 2018 :  52 18621101 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 09:54:13 CET 2018 :  53 18621101 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 10:03:34 CET 2018 :  53 18621201 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 10:03:35 CET 2018 :  54 18621201 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 10:13:20 CET 2018 :  54 18630101 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 10:13:20 CET 2018 :  55 18630101 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 10:22:58 CET 2018 :  55 18630201 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 10:22:59 CET 2018 :  56 18630201 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 10:31:44 CET 2018 :  56 18630301 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 10:31:45 CET 2018 :  57 18630301 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 10:41:16 CET 2018 :  57 18630401 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 10:41:17 CET 2018 :  58 18630401 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 10:50:34 CET 2018 :  58 18630501 f05_5AGCMs_NASPG_sample  - done
Sat Feb 03 10:50:34 CET 2018 :  59 18630501 f05_5AGCMs_NASPG_sample  - start
Sat Feb 03 11:00:11 CET 2018 :  59 18630601 f05_5AGCMs_NASPG_sample  - done
