Wed Nov 08 09:49:05 CET 2017 :  Beginning of Experiment f01_echam6_amip_T63
Fri Feb 02 14:38:42 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Fri Feb 02 15:11:47 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Fri Feb 02 15:42:45 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Fri Feb 02 18:09:10 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sat Feb 03 17:45:01 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sat Feb 03 18:03:58 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sat Feb 03 18:22:27 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sat Feb 03 18:40:46 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sat Feb 03 18:59:11 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sat Feb 03 19:17:47 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sat Feb 03 19:36:09 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sat Feb 03 19:54:35 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sat Feb 03 20:13:19 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sat Feb 03 20:31:44 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sat Feb 03 20:50:15 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sat Feb 03 21:08:56 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sat Feb 03 21:27:24 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sat Feb 03 21:45:57 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sat Feb 03 22:05:06 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sat Feb 03 22:23:48 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sat Feb 03 22:42:31 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sat Feb 03 23:01:11 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sat Feb 03 23:19:42 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sat Feb 03 23:38:39 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sat Feb 03 23:57:12 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 00:15:38 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 00:34:18 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 00:52:57 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 01:11:22 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 01:30:04 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 01:48:11 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 02:06:40 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 02:25:21 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 02:43:50 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 03:02:15 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 03:20:55 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 03:39:29 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 03:58:09 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 04:16:43 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 04:35:13 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 04:53:55 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 05:12:03 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 05:30:07 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 05:48:51 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 06:07:03 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 06:25:26 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 06:44:01 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 07:02:12 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 07:20:24 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 07:38:44 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 07:57:01 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 08:15:48 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 08:34:32 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 08:53:13 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 09:12:00 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 09:30:42 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 09:49:14 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 10:08:13 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 10:26:45 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 10:45:11 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 11:03:56 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 11:22:35 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 11:41:11 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 12:00:05 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 12:18:39 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 12:37:17 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 12:56:10 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 13:14:37 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 13:33:18 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 13:51:58 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 14:10:25 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 14:29:13 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 14:48:06 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 15:06:40 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 15:25:28 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 15:43:45 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 16:02:11 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 16:20:38 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 16:39:22 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 16:58:14 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 17:16:42 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 17:35:17 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 17:53:53 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 18:12:37 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 18:31:07 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 18:49:42 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 19:08:31 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 19:26:45 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 19:45:10 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 20:03:50 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 20:22:16 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 20:40:47 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 20:59:29 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 21:18:07 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 21:36:34 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 21:55:09 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 22:13:43 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 22:32:16 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 22:51:05 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 23:09:35 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 23:28:13 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Sun Feb 04 23:47:02 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 00:05:29 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 00:24:00 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 00:42:50 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 01:01:20 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 01:20:02 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 01:38:34 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 01:56:49 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 02:15:32 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
Mon Feb 05 02:34:03 CET 2018 :  2 19820101 f02_amip_T63_offC_nud  - start
